Paper ID|Type|Authors|Title
62|0|Benjamin Cowley, Matt Smith, Adam Kohn, Byron Yu|Co-fluctuation patterns of population activity in macaque primary visual cortex.
63|0|Ryan Rowekamp, Tatyana Sharpee|Neurons in V4 show quadrature pair selectivity along curved contours.
64|0|Johnatan Aljadeff, Merav Stern, Tatyana Sharpee|Transition to chaos in heterogeneous networks.
65|0|Miha Pelko, Daniel Harnack, Antoine Chaillet, Yacine Chitour, Mark van Rossum|Stability of neuronal networks with homeostatic regulation.
66|0|Daniel Leeds, John Pyles, Michael Tarr|Evidence towards surround suppression in perception of complex visual properties.
67|0|Guillaume Lajoie, Jean-Philippe Thivierge, Eric Shea-Brown|Structured chaos shapes population noise entropy in driven balanced networks.
68|0|Srinivas Turaga, Lars Buesing, Adam Packer, Henry Dalgleish, Noah Pettit, Michael Hausser, Jakob Macke|Predicting noise correlations for non-simultaneously measured neuron pairs.
69|0|Sarah Marzen, Michael DeWeese, Jim Crutchfield|Statistical complexity of neural spike trains.
70|0|Satohiro Tajima, Taro Toyoizumi|Neuroembedology: dynamical relation reflects network structures.
71|0|Ramakrishnan Iyer, Nicholas Cain, Stefan Mihalas|Dynamics of excitatory-inhibitory neuronal networks with exponential synaptic weight distributions.
72|0|Veronika Koren, Sophie Deneve, David Barrett|Predictive coding in active and quiescent states.
73|0|Farzad Farkhooi, Carl van Vreeswijk|A novel point process approach to the stability analysis of spiking recurrent networks.
74|0|Cliff Kerr, Marius Pachitariu, Jordan Iordanou, Joseph Francis, Maneesh Sahani, William Lytton|Low-dimensional dynamics of somatosensory cortex: experiment and simulation.
75|0|Sridevi Sarma, Duluxan Sritharan|On the brink of instability: network fragility in the epileptic cortex.
76|0|Stefan Berteau|Alpha coherence networks and the prerequisites for communication in simulated cortex.
77|0|Yashar Ahmadian, Kenneth Miller|Contextual influences on gamma oscillations in inhibition stabilized networks.
78|0|Leandro Alonso, Alex Proekt, Guillermo Cecchi, Marcelo Magnasco|Dynamical criticality during Induction of anesthesia in human ECoG recordings.
79|0|Neil Rabinowitz, Robbe Goris, Johannes Balle, Eero Simoncelli|Modeling neural responses in the presence of unknown modulatory inputs.
80|0|Rishidev Chaudhuri, Biyu He, Xiao-Jing Wang|The temporal structure of a random network near criticality and human ECoG dynamics.
81|0|Xaq Pitkow, Kaushik Lakshminarasimhan, Alexandre Pouget|How brain areas can predict behavior, yet have no influence.
82|0|David Sussillo, Omri Barak|Opening the black box: understanding how recurrent neural networks compute.
83|0|Daniel Marti, Nicolas Brunel, Srdjan Ostojic|Dynamics of networks of excitatory and inhibitory units with sparse, partially symmetric couplings.
84|0|Yann Sweeney, Jeanette Hellgren Kotaleski, Matthias Hennig|Volume transmission as a new homeostatic mechanism.
85|0|Moritz Deger, Tilo Schwalger, Richard Naud, Wulfram Gerstner|Network dynamics of spiking neurons with adaptation.
86|0|Tim Vogels, Christian Tomm, Michael Avermann, Carl Petersen, Wulfram Gerstner|Connection-type specific biases make random network models consistent with cortical recordings.
87|0|Mate Lengyel, Guillaume Hennequin, Laurence Aitchison|Fast sampling in recurrent neural circuits.
88|0|Daniel Miner, Jochen Triesch|Relating synaptic efficacies and neuronal separation in a simulated layer 2/3 cortical network.
89|0|Alan Veliz-Cuba, Zachary Kilpatrick, Kresimir Josic|Encoding and learning the timing of events in neural networks.
90|0|Jascha Sohl-Dickstein, Niru Maheswaranathan, Benjamin Poole, Surya Ganguli|Efficient fitting of large-scale neural models.
91|0|Benjamin Poole, Jascha Sohl-Dickstein, Surya Ganguli|Effects of noise injection in artificial neural networks.
92|0|Robert Guetig|Unsupervised emergence of continuous tuning curves and sensory maps in spiking neural networks.
93|0|Friedemann Zenke, Everton Agnes, Wulfram Gerstner|Learning multi-stability in plastic neural networks.
94|0|Naoki Hiratani, Tomoki Fukai|Interplay between short- and long-term plasticity in cell-assembly formation.
95|0|Christopher Hillar, Sarah Marzen, Urs Koester, Kilian Koepsell|A Hopfield net trained on images matches retinal spike statistics and encodes images efficiently.
96|0|Timothy O'Leary, Eve Marder|One rule to grow them all? Activity-dependent regulation for robust neural circuit specification.
97|0|Guillaume Hennequin, Mate Lengyel|The dynamics of variability in nonlinear recurrent circuits.
98|0|Julia Hillmann, Robert Guetig|Specialization within populations of neural feature detectors.
99|0|Felix Bauer, Matthias Kaschube|Role of long-range horizontal connections in visual texture classification.
100|0|Michael Buice, Nicholas Cain, Ramakrishnan Iyer, Mike Hawrylycz, Stefan Mihalas|The brain as social network: self-organization of a dynamic connectome.
101|0|Jeremie Barral, Tatjana Tchumatchenko, Alexander Reyes|Examining signal and noise correlation in a recurrent network of neurons in culture.
102|0|Shan Yu, Andreas Klaus, Hongdian Yang, Dietmar Plenz|Local feed-forward dynamics of scale-invariant neuronal avalanches.
103|0|Jesus Manrique, Nestor Parga|Decorrelation in networks of spiking neurons: from microscopic to macroscopic magnitudes.
104|0|Jozsef Fiser, Benjamin White|Learning-based crossmodal suppression of ongoing activity in primary cortical areas of the awake rat.
105|0|Yu Hu, Joel Zylberberg, Eric Shea-Brown|The sign rule and beyond: boundary effects, flexibility, and noise correlations in population codes.
106|0|Ingmar Kanitscheider, Ruben Coen-Cagli, Alexandre Pouget|Noise correlations induced by computation.
107|0|Yazan Billeh, Michael T Schaub, Costas A Anastassiou, Mauricio Barahona, Christof Koch|Biophysically inspired cell assembly detection at multiple scales.
108|0|Audrey Sederberg, Stephanie Palmer, Jason MacLean|Decoding thalamic inputs from cortical activity.
109|0|Vladimir Itskov, Carina Curto, Eva Pastalkova, Chad Giusti|Topological analysis of hippocampal correlations reveals non-random, low-dimensional clique topology.
110|0|Joel Zylberberg, Maxwell Turner, Jon Cafaro, Fred Rieke, Eric Shea-Brown|A novel rate-correlation relationship might significantly improve population coding in retina.
111|0|Sanjeev Khanna, Adam Snyder, Matt Smith|Structure of neuronal correlation during eye movement planning in FEF.
112|0|Adam Snyder, Cory Willis, Matt Smith|Spike count correlation relates to the phase and amplitude of EEG oscillations measured at the scalp.
113|0|Jerome Tubiana, Zhuo Wang, Daniel Lee, Haim Sompolinsky|Efficient coding theory in nonlinear networks with noise.
114|0|Wentao Huang, Kechen Zhang|Determining the optimal distributions of neural population codes.
115|0|Alfred Kaye, Edward Callaway, Tatyana Sharpee|Transformation of optimal motion encoding in the mouse early visual system.
116|0|HaDi MaBouDi, Hideaki Shimazaki, Mehdi Abouzari, Shun-ichi Amari, Hamid Soltanian-Zadeh|Statistical inference for directed phase coupling in neural oscillators.
117|0|Dmitry Lyamzin, Samuel Barnes, Tara Keck, Nicholas Lesica|Nonlinear transfer of signal and noise correlations in cortical networks.
118|0|June Hoan Kim, Ryoun Heo, Joon Ho Choi, Kyoung Lee|Existence of multiple bursting oscillators in cultured neural network and transitions among them.
119|0|Clarissa Shephard, Christian Waiblinger, Cornelius Schwarz, Garrett Stanley|Extracting a signal in noise: Effect of bursts and tonic spikes on detection and discriminability.
120|0|Wasim Malik, John Donoghue, Leigh Hochberg|Decoding analog multiunit activity in a brain-machine interface for individuals with tetraplegia.
121|0|Marino Pagan, Eero Simoncelli, Nicole Rust|Maximum Variance Differentiation (MVD) explains the transformation from IT to Perirhinal cortex.
122|0|Michael Schwemmer, Sophie Deneve, Eric Shea-Brown, Adrienne Fairhall|Predictive coding with hodgkin-huxley-type neurons.
123|0|David Schwab, Ilya Nemenman, Pankaj Mehta|Zipf's law and criticality in multivariate data without fine-tuning.
124|0|Bas van Opheusden, Gasper Tkacik, Olivier Marre, Michael Berry|Heaps' law as a tuning principle for retinal population codes.
125|0|Rainer Engelken, Michael Monteforte, Fred Wolf|Fast population coding in recurrent networks: single cell vs. network mechanisms.
126|0|Emin Orhan, Wei Ji Ma|Neural population coding of multiple stimuli.
127|0|Leon Gatys, Alexander Ecker, Tatjana Tchumatchenko, Matthias Bethge|How much signal is there in the noise?
128|0|Douglas Ruff, David H Brainard, Marlene Cohen|Neuronal population decoding can account for perceptual lightness illusions.
129|0|Ann Hermundstad, Olivier Marre, Stephanie Palmer, Michael Berry, Gasper Tkacik, Vijay Balasubramanian|Adaptation of intrinsic circuit correlations and synergy in retinal synchrony.
130|0|Francesca Pizzorni-Ferrarese, Jonas Larsson|A data-driven model-free population receptive field estimation framework.
131|0|Mark Ioffe, Gasper Tkacik, William Bialek, Michael Berry|Robustness of criticality under different stimulus conditions.
132|0|Sahar Pirmoradian, Gerrit Hilgen, Oliver Muthman, Alessandro Maccione, Upinder Bhalla, Luca Berdonini, Evelyne Sernagor, Matthias Hennig|Mapping large scale retinal population activity with high density multielectrode arrays.
133|0|Laurence Aitchison, Nicola Corradi, Peter Latham|Latent variable models (almost) always display signatures of criticality.
134|0|Kanaka Rajan, Christopher Harvey, David Tank|Generation of sequences through reconfiguration of ongoing activity in neural networks: A model of c.
135|0|Corinne Teeter, Christof Koch, Stefan Mihalas|A method for fitting linear neural models to extracellular electrophysiology data.
136|0|Ian Oldenburg, Bernardo Sabatini|Direct and indirect pathways of the basal ganglia exert opposing but not identical control of motor.
137|0|TJ Florence, Charles Zuker, Michael Reiser|Spatial learning by Drosophila melanogaster in virtual reality.
138|0|Alexander Keinath, Joshua Dudman, Isabel Muzzio|Redundant hippocampal spatial coding offsets competition between interference and generalization.
139|0|Katie Bittner, Jeffrey Magee|Phase comparison of functionally distinct inputs in CA1 pyramidal cells during locomotion.
140|0|Ann Kennedy, Peter Wang, Daisuke Hattori, Richard Axel, L.F. Abbott|Representation and generalization in Drosophila olfactory learning.
141|0|Kamesh Krishnamurthy, Ann Hermundstad, Thierry Mora, Aleksandra Walczak, Venkatesh Murthy, Charles Stevens, Vijay Balasubramanian|The functional role of randomness in olfactory processing.
142|0|Gonzalo Otazu, Hong Goo Chae, Dinu Albeanu|Two types of representation of sensory information in cortical feedback axons in awake mice.
143|0|Arkarup Bandyopadhyay, Fred Marbach, Francesca Anselmi, Matthew Koh, Martin B. Davis, Hassana K. Oyibo, Priyanka Gupta, Dinu Albeanu|Long-distance inhibition by short axon cells gate the output of the olfactory bulb.
144|0|Wiktor Mlynarski|Learning hierarchical representations of natural auditory scenes.
145|0|Izzet Yildiz, Brian Fischer , Sophie Deneve|Invariant selectivity of auditory neurons due to predictive coding.
146|0|Vincent ADAM, Maneesh Sahani|Bayesian perception of the pitch of non-stationary natural sounds.
147|0|Phillip Schafer, Dezhe Jin|Learning noise-invariant auditory receptive fields for speech recognition.
148|0|Liberty Hamilton, Jascha Sohl-Dickstein, Shaowen Bao|Sensitive periods for functional connectivity in auditory cortical circuits.
149|0|Mike Schachter, Tyler Lee, Julie Elie, Friedrich Sommer, Frederic Theunissen|Population coding of complex sounds in the avian auditory system.
150|0|Isaac Carruthers, Ryan Natan, Andrew Jaegle, Laetitia Mwilambwe-Tshilobo, Diego Laplagne, Maria Geffen|Changes in encoding of communication signals by populations of neurons in the auditory cortex.
151|0|Samuel Norman-Haignere, Joshua McDermott, Nancy Kanwisher|Clustering of cortical responses to natural sounds reveals organization for pitch and speech.
152|0|Allison Baker, Alex Vaughan, Bruce Baker, Rachel Wilson|Characterizing central auditory neurons in Drosophila.
153|0|Michael Kyweriga, Whitney Stewart, Carolyn Cahill, Michael Wehr|Synaptic computation of interaural level differences in rat auditory cortex.
154|0|HyungGoo Kim, Xaq Pitkow, Ryo Sasaki, Dora E. Angelaki, Gregory C. DeAngelis|Near-optimallinear decoding for marginalization: application to heading estimation.
155|0|Nader Nikbakht, Azadeh Tafreshiha, Rodrigo Q. Quiroga, Davide Zoccolan, Mathew Diamond|Integration of visual and tactile signals in behaving rats.
156|0|Johannes Burge, Brian McCann, Wilson Geisler|3D surface tilt estimation in natural scenes from image cue gradients.
157|0|Stephanie Palmer, Jared Salisbury, Heather Yee, Hanna Torrence, Don Ho, David Schwab|A new database for natural motion: movie data and analysis of natural motion statistics.
158|0|Emmanouil Froudarakis, Philipp Berens, R. James Cotton, Alexander Ecker, Fabian H. Sinz, Dimitri Yatsenko, Peter Saggau, Matthias Bethge, Andreas S. Tolias|Higher-order stimulus correlations drive a sparse representation in mouse V1 well-suited for discrim.
159|0|Alexander Heitman, Martin Greschner, Greg Field, Peter Li, Daniel Ahn, Alexander Sher, Alan Litke, E. J. Chichilnisky|Representation and reconstruction of natural scenes in the primate retina.
160|0|Maximilian Joesch, Markus Meister|A selective color-opponent pathway in the mouse retina.
161|0|Avner Wallach, Knarik Bagdasarian, Ehud Ahissar|Early representations of whisker self-motion revealed using closed-loop control in anesthetized rats.
162|0|Oh-sang Kwon, Duje Tadin, David Knill|An optimal object-tracking model provides a unifying account of motion and position perception.
163|0|David Reichert, Thomas Serre|Binding by synchrony in complex-valued deep neural networks.
164|0|James Fitzgerald, Damon Clark|Interplay between sensory statistics and neural circuit constraints in visual motion estimation.
165|0|Timothy Oleskiw, Amy Nowack, Anitha Pasupathy|Selectivity for shape and blur in area V4.
166|0|Ethan Meyers, Mia Borzello, Winrich Freiwald, Doris Tsao|Decoding what types of information are in the macaque face patch system.
167|0|Tao Hu, Dmitri Chklovskii|Efficient coding can account for the existence of sustained and transient bipolar cell types.
168|0|Daniel Coca, Carlos Luna Ortiz, Stephen Billings, Mikko Juusola|Characterizing retinal network adaptation in Drosophila using models of mean and contrast adaptation.
169|0|Ha Hong, Daniel Yamins, Najib Majaj, James DiCarlo|It cortex contains a general-purpose visual object representation.
170|0|Ivo Vanzetta, Maria Bermudez, Thomas Deneux, Frederic Barthelemy, Guillaume Masson|Interaction of color, motion and contrast in macaque V4 population activity and behavior.
171|0|Eyal Nitzany, Gil Menda, Paul Shamble, James Golden, Ron Hoy, Jonathan Victor|Evolutionary convergence in computation of local motion signals in monkey and dragonfly.
172|0|Mor Ben-Tov, Opher Donchin, Ohad Ben-Shahar, Ronen Segev|Pop-out visual search of moving targets in the archer fish.
173|0|Mijung Park, Jonathan Pillow|Bayesian inference for low rank receptive fields.
174|0|Chou Hung, Chang Mao Chao, Li-feng Yeh, Yueh-peng Chen, Chia-pei Lin, Yu-chun Hsu|Lateral feature-level interactions in anterior visual cortex of monkeys and humans.
175|0|Darren Seibert, Daniel Yamins, Ha Hong, James DiCarlo, Justin Gardner|Quantifying and modeling the emergence of object recognition in the ventral stream.
176|0|Michael Oliver, Jack Gallant|Using deep networks to learn non-linear receptive field models of V2 neurons.
177|0|Haruo Hosoya, Aapo Hyvarinen|Four-layer sparse coding model of natural images that reproduces tuning properties in V1, V2 and V4.
178|0|Dimitri Yatsenko, Kresimir Josic, Alexander Ecker, Emmanouil Froudarakis, R. James Cotton, Andreas S. Tolias|Low-dimensional structure of neural correlations in cortical microcircuits.
179|0|Chris Lewis, Conrado Bosman, Thilo Womelsdorf, Pascal Fries|Intrinsic networks in visual cortex are mediated by local and inter-areal rhythmic synchronization.
180|0|Grant Mulliken, Robert Desimone|Spectral noise shaping: a multipurpose coding strategy in dorsal and ventral visual pathways.
181|0|Maneesh Sahani, Marius Pachitariu, Adil Khan, Jasper Poort, Ivana Orsolic, Georg Keller, Sonja Hofer, Thomas Mrsic-Flogel|Spatiotemporal integration of optic flow and running speed in V1.
182|0|Jasper Poort, Adil Khan, Marius Pachitariu, Abdellatif Nemri, Ivana Orsolic, Julija Krupic, Marius Bauza, Georg Keller, Maneesh Sahani, Thomas Mrsic-Flogel, Sonja Hofer|Learning related changes of stimulus representations in mouse visual cortex.
183|0|Philipp Rudiger, Jean-Luc Stevens, Bharath Chandra Talluri, Laurent Perrinet, James Bednar|Relationship between natural image statistics and lateral connectivity in the primary visual cortex.
184|0|Manuel Schottdorf, Stephen J. Eglen, Fred Wolf, Wolfgang Keil|Can retinal ganglion cell dipoles seed iso-orientation domains in the visual cortex?
185|0|Jens Kremkow, Jianzhong Jin, Stanley J Komban, Yushi Wang, Reza Lashgari, Jose-Manuel Alonso|Cortical maps of ON and OFF visual responses are the substrate of the cortical orientation map.
186|0|Maryam Bijanzadeh, Lauri Nurminen , Jennifer Ichida, Sam Merlin , Kenneth Miller, Alessandra Angelucci|V1 laminar-specific activity patterns evoked by receptive field, near and far surround stimulation.
187|0|Jason Samonds, Brian Potetz, Christopher Tyler, Tai Sing Lee|Stereoscopic surface disambiguation and interpolation in the macaque primary visual cortex.
188|0|Jungwon Ryu, Sang-Hun Lee|Visuotopic anisotropy in functional connectivity among local cortical sites in human visual areas.
189|0|William Podlaski, Rajnish Ranjan, Alexander Seeholzer, Henry Markram, Wulfram Gerstner, Tim Vogels|Visualizing the similarity and pedigree of neuronal ion channel models for NEURON.
190|0|Edward Frady, William Kristan|Scalable semi-supervised framework for activity mapping of the leech nervous system.
191|0|Tim Bellay, Andreas Klaus, Saurav Seshadri, Dietmar Plenz|The cellular origin of neuronal avalanches.
192|0|Brendan Chambers, Alexander Sadovsky, Jason MacLean|Microcircuit activity is patterned topologically and reveals features of underlying connectivity.
193|0|David Pfau, Jeremy Freeman, Misha Ahrens, Liam Paninski|Scalable ROI detection for calcium imaging.
194|0|Tamara Berdyyeva, Stephani Otte, Leah Aluisio, Laurie Burns, Yaniv Ziv, Christine Dugovic, Kunal Gosh, Mark J Schnitzer, Tim Lovenberg, Pascal Bonaventure|Investigating mechanisms of drug action at the hippocampal ensemble level in behaving mice.
195|0|Maureen Hagan, Bijan Pesaran|Phase coding in posterior parietal cortex predicts neural suppression in a gaze-anchoring task.
196|0|Alexandra Moore, Michael Wehr|PV+ inhibition regulates feedforward activity in auditory cortex.
197|0|Tobias Teichert, Vincent Ferrera|Observing the unobservable: a note on stop-signal reaction-time distributions.
198|0|Ofri Raviv, Yonatan Loewenstein, Merav Ahissar|A simplified Bayesian model accounts for procedure-related variability in perceptual thresholds.
199|0|Kathryn Bonnen, Johannes Burge, Jacob L Yates, Jonathan Pillow, Lawrence K Cormack|A behavioral tracking paradigm for estimating visual sensitivity with dynamic internal models.
200|0|Josh Merel, Antony Qian, Roy Fox, Liam Paninski|Modeling and exploiting co-adaptation in brain-computer interfaces.
201|0|Yi Li, Joshua Dudman|Behavioral and neural evidence that mice infer probabilistic models for timing.
202|0|Ashwin Ramayya, Ashwini Sharan, James Evans, Michael Sperling, Timothy Lucas, Michael Kahana|High-frequency activity in the medial orbitofrontal cortex encodes positive outcomes.
203|0|Saurav Seshadri, Tim Bellay, Samantha Chou, Dietmar Plenz|Altered neuronal avalanches at the population and cell level in a rat model of schizophrenia.
204|0|Tatjana Wiese, Marlene Cohen, Brent Doiron|Modeling attention-induced drop of noise correlations by inhibitory feedback.
205|0|Lei Jin, Bartlett W. Mel|A single net excitation strength measure broadens the scope of the 2-layer model.
206|0|Evan Archer, Jonathan Pillow, Jakob Macke|Low-dimensional models of neural population recordings with complex stimulus selectivity.
207|0|Il Memming Park, Evan Archer, Kenneth Latimer, Jonathan Pillow|Scalable nonparametric models for binary spike patterns.
208|0|Sabato Santaniello, Erwin B. Montgomery, John T. Gale, Sridevi Sarma|High frequency deep brain stimulation elicits neural restoration via loop-based reinforcement.
209|0|Tilo Schwalger, Benjamin Lindner|Theory for the firing statistics of neurons driven by non-Poissonian synaptic input.
210|0|Jason Prentice, Olivier Marre, Mark Ioffe, Gasper Tkacik, Michael Berry|Error correction in the retinal population code.
211|0|I-Chun Lin, Michael Okun, Matteo Carandini, Kenneth Harris|The nature of cortical variability.
212|0|Julie Elie, Frederic Theunissen|From sounds to meaning: neural representation of calls in the avian auditory cortex.
213|0|Israel Nelken, Leila Khouri, Bshara Awwad, Itai Hershenhoren, Amit Yaron, Tohar Yarden|Stimulus-specific adaptation in the auditory system & models and data
214|0|Richard Naud, Dave Houtman, Gary Rose, Andre Longtin|Modeling sound pulse counting with phasic inhibition and nonlinear integration.
215|0|Arjun Bharioke, Dmitri Chklovskii|How do insects see motion? Using connectomics, physiology and behavior to constrain possible models.
216|0|Daniel Yamins, Ha Hong, Darren Seibert, James DiCarlo|Predicting IT and V4 neural responses with performance-optimized neural networks.
217|0|Michoel Snow, Ruben Coen-Cagli, Odelia Schwartz|Adaptation in V1 populations reflects optimal inference of natural movie statistics.
218|0|Urs Koester, Bruno Olshausen|Heisenberg: a tool for mapping complex cell receptive fields.
219|0|Ali Neishabouri, Aldo Faisal|Are spikes unitary signals? How axonal noise produces synaptic variability.
220|0|Guillaume Dehaene, Jeffrey Beck, Alexandre Pouget|Optimal population codes with limited input information have finite tuning-curve widths.
221|0|David Barrett, Sophie Deneve, Christian Machens|Optimal compensation for neuron death.
222|0|Julijana Gjorgjieva, Markus Meister, Haim Sompolinsky|Optimal sensory coding by populations of ON and OFF neurons.
